ClientId: 1006
Phone 9/4
MovieRental 5/1
Song 6/13
Song 1/21
Phone 8/2
Lamp 10/3
Phone 4/11
Lamp 4/2
Lamp 9/4
Lamp 1/22
Textbook 10/2
Phone 4/17
Shoes 7/23
Blu-Ray 6/13
Blu-Ray 4/14
Lamp 5/26
Shoes 1/21
MovieRental 7/25
MovieRental 5/1
Lamp 7/20
Song 10/13
Song 9/14
MovieRental 2/20
Blu-Ray 11/15
Shoes 5/11
Blu-Ray 1/10
Lamp 3/17
Lamp 4/13
Song 9/9
Lamp 6/1
Textbook 11/8
Lamp 11/26
Shoes 4/26
Song 1/15
Song 5/2
Textbook 12/11
Song 4/3
Lamp 2/19
Phone 6/16
MovieRental 12/18
MovieRental 4/2
Song 6/6
Song 10/8
Lamp 9/6
Phone 9/18
Song 11/13
Blu-Ray 7/14
MovieRental 1/16
Lamp 8/5
Textbook 9/17
Lamp 9/17
Song 2/7
Textbook 8/12
Textbook 1/10
Lamp 2/25
Song 6/4
Blu-Ray 1/20
Textbook 12/18
Phone 8/20
MovieRental 4/6
Shoes 7/16
Blu-Ray 1/23
