ClientId: 1014
Blu-Ray 9/15
Phone 2/15
Shoes 11/21
Phone 2/18
Shoes 3/11
MovieRental 8/21
Textbook 11/10
Song 8/6
Textbook 8/22
Textbook 1/7
Lamp 6/19
MovieRental 7/22
Song 10/1
Textbook 11/25
Blu-Ray 9/11
Lamp 1/7
MovieRental 5/9
Textbook 12/5
Song 10/16
Blu-Ray 1/7
Lamp 9/11
MovieRental 11/3
MovieRental 9/16
Shoes 10/12
MovieRental 2/3
Lamp 4/16
Textbook 4/16
Shoes 4/9
Lamp 1/23
Shoes 6/12
Phone 9/14
Song 9/16
MovieRental 4/2
Shoes 1/16
Phone 1/25
Phone 5/10
Lamp 12/21
Shoes 6/26
Song 10/15
Song 6/9
Blu-Ray 7/5
Phone 7/20
Shoes 7/2
Blu-Ray 4/25
Lamp 9/23
Song 10/11
MovieRental 3/10
MovieRental 5/11
MovieRental 8/17
Lamp 9/2
Phone 12/14
Shoes 9/23
Lamp 8/12
Shoes 1/10
MovieRental 5/6
Shoes 1/20
Shoes 5/9
Blu-Ray 9/9
Blu-Ray 10/1
Song 6/15
Textbook 7/2
Phone 10/20
Song 2/16
Textbook 10/8
Lamp 1/4
Song 9/12
Lamp 2/17
MovieRental 6/25
Blu-Ray 7/5
Textbook 7/26
Textbook 6/18
MovieRental 10/10
MovieRental 6/21
Shoes 6/26
Textbook 9/26
MovieRental 6/20
Blu-Ray 1/21
Lamp 2/21
Shoes 1/4
Blu-Ray 6/19
Song 9/15
Textbook 11/14
Phone 10/8
