ClientId: 1001
Song 1/1
Shoes 10/5
Blu-Ray 4/14
Phone 3/25
Blu-Ray 7/5
Lamp 8/22
Phone 12/23
Song 12/7
Blu-Ray 7/3
Shoes 10/13
Shoes 7/14
MovieRental 11/25
Phone 8/26
Blu-Ray 3/8
Blu-Ray 8/7
Lamp 11/16
Song 12/24
Song 11/4
Shoes 2/13
Phone 3/20
Shoes 11/9
Shoes 3/7
Textbook 11/3
Song 8/1
Lamp 5/2
MovieRental 5/20
MovieRental 8/26
Song 1/25
Blu-Ray 10/23
Lamp 12/19
Lamp 8/4
Shoes 4/8
Shoes 5/7
MovieRental 10/20
Shoes 10/7
Blu-Ray 5/26
MovieRental 12/5
Lamp 2/11
Textbook 7/16
Textbook 6/12
Song 10/22
Phone 5/8
Shoes 8/4
Shoes 2/4
MovieRental 11/4
Blu-Ray 4/4
Shoes 2/19
Song 11/10
Lamp 2/6
MovieRental 8/5
Textbook 4/22
Textbook 11/6
Textbook 8/5
Blu-Ray 1/3
Lamp 6/26
Phone 3/15
Phone 10/13
Lamp 3/2
Lamp 5/16
Lamp 7/17
Song 8/26
Shoes 7/15
Shoes 10/11
MovieRental 2/7
Song 12/18
Shoes 3/5
Lamp 12/24
Song 10/17
MovieRental 4/22
Textbook 8/26
Lamp 5/5
Blu-Ray 9/20
MovieRental 7/11
Shoes 3/7
Blu-Ray 4/23
Lamp 7/17
Shoes 3/20
Blu-Ray 12/8
Lamp 2/6
Blu-Ray 11/13
MovieRental 4/25
Phone 3/6
Song 4/10
Shoes 12/10
Textbook 1/25
Song 11/23
Shoes 10/24
Shoes 9/2
Textbook 6/4
Lamp 9/23
Shoes 2/5
Blu-Ray 10/13
Phone 9/3
Blu-Ray 12/17
Blu-Ray 7/17
Blu-Ray 7/22
Textbook 5/13
Textbook 10/1
Lamp 4/5
